"port","place","latitude","longitude","has_location"
1611400,"Nawiliwili, HI",21.9550, 159.3567, 0
1612340,"Honolulu, HI",21.3067, -157.8667, 0
1615680,"Kahului, HI",20.8950, 156.4767, 0
1617433,"Kawaihae, HI",20.0367, -155.8300, 0
1617760,"Hilo, HI",19.7300, 155.0567, 0
1619910,"Sand Island, Midway Islands",28.2117, -177.3600, 0
1630000,"Guam",13.4417, 144.6533, 0
1770000,"Pago Pago",-14.2800, -170.6900, 0
1820000,"Kwajalein, Marshall Islands",8.7317, 167.7367, 0
1890000,"Wake Island",19.2900, 166.6183, 0
8410140,"Eastport, ME",44.9033, -66.9850, 0
8413320,"Bar Harbor, ME",44.3917, -68.2050, 0
8418150,"Portland, ME",43.6567, -70.2467, 0
8419317,"Wells, ME",43.3200, -70.5633, 0
8423898,"Fort Point, NH",43.0717, -70.7117, 0
8443970,"Boston, MA",42.3550, -71.0517, 0
8447386,"Fall River, MA",41.7050, -71.1633, 0
8447930,"Woods Hole, MA",41.5233, -70.6717, 0
8448725,"MENEMSHA HARBOR, MA",41.3567, -70.7717, 0
8449130,"Nantucket Island, MA",41.2850, -70.0967, 0
8452660,"Newport, RI",41.5050, -71.3267, 0
8454000,"Providence, RI",41.8067, -71.4017, 0
8454049,"Quonset Point, RI",41.5850, -71.4083, 0
8461490,"New London, CT",41.3550, -72.0867, 0
8465705,"New Haven, CT",41.2817, -72.9083, 0
8467150,"Bridgeport, CT",41.1733, -73.1817, 0
8510560,"Montauk, NY",41.0483, -71.9600, 0
8516945,"Kings Point, NY",40.8100, -73.7650, 0
8518750,"The Battery, NY",40.7000, -74.0150, 0
8531680,"Sandy Hook, NJ",40.4667, -74.0100, 0
8534720,"Atlantic City, NJ",39.3550, -74.4183, 0
8536110,"Cape May, NJ",38.9683, -74.9600, 0
8538886,"Tacony-Palmyra Bridge, NJ",40.0117, -75.0433, 0
8539094,"Burlington, Delaware River, NJ",40.0817, -74.8650, 0
8540433,"Marcus Hook, PA",39.8117, -75.4100, 0
8545240,"Philadelphia, PA",39.9333, -75.1417, 0
8548989,"Newbold, PA",40.1367, -74.7517, 0
8551762,"Delaware City, DE",39.5817, -75.5900, 0
8551910,"Reedy Point, DE",39.5583, -75.5733, 0
8557380,"Lewes, DE",38.7817, -75.1200, 0
8570283,"Ocean City Inlet, MD",38.3283, -75.0917, 0
8571359,"Snow Hill, MD",38.1783, -75.3967, 0
8571421,"Bishops Head, MD",38.2200, -76.0383, 0
8571702,"Beaverdam Creek, MD",38.4283, -76.2367, 0
8571773,"Vienna, MD",38.4833, -75.8183, 0
8571892,"Cambridge, MD",38.5733, -76.0683, 0
8573349,"Crumpton, MD",39.2450, -75.9250, 0
8573364,"Tolchester Beach, MD",39.2133, -76.2450, 0
8573927,"Chesapeake City, MD",39.5267, -75.8100, 0
8574680,"Baltimore, MD",39.2667, -76.5783, 0
8575512,"Annapolis, MD",38.9833, -76.4800, 0
8576941,"Parsons Creek, MD",38.4833, -76.2667, 0
8576983,"Goosedam Pond, MD",38.4767, -76.2800, 0
8577330,"Solomons Island, MD",38.3167, -76.4517, 0
8579542,"Lower Marlboro, MD",38.6550, -76.6833, 0
8594900,"Washington, DC",38.8733, -77.0217, 0
8631044,"Wachapreague, VA",37.6067, -75.6867, 0
8632200,"Kiptopeke, VA",37.1667, -75.9883, 0
8635750,"Lewisetta, VA",38.9717, -76.4650, 0
8635985,"Wares Wharf, VA",37.8733, -76.7833, 0
8636580,"Windmill Point, VA",37.6150, -76.2900, 0
8636653,"Lester Manor, VA",37.5833, -76.9900, 0
8638610,"Sewells Point, VA",36.9467, -76.3300, 0
8638863,"Chesapeake Bay Bridge Tunnel, VA",36.9667, -76.1133, 0
8638979,"Chesapeake Light, VA",36.9050, -75.6967, 0
8639207,"Rudee Inlet, VA",36.8317, -75.9733, 0
8651370,"Duck, NC",36.1833, -75.7467, 0
8656483,"Beaufort, NC",34.7200, -76.6700, 0
8658120,"Wilmington, NC",34.2267, -77.9533, 0
8658163,"Wrightsville Beach, NC",34.2100, -77.7867, 0
8665530,"Charleston, SC",32.7817, -79.9250, 0
8667633,"Clarendon Plantation, SC",32.5000, -80.7850, 0
8670870,"Fort Pulaski, GA",32.0333, -80.9017, 0
8677344,"St.Simons Island, GA",31.1333, -81.3967, 0
8720030,"Fernandina Beach, FL",30.6717, -81.4650, 0
8720059,"Vaughns landing, FL",30.6300, -81.5700, 0
8720145,"Edwards Creek, FL",30.5017, -81.5417, 0
8720582,"State Road 312, Matanzas River, FL",29.8667, -81.3067, 0
8720651,"Crescent Beach, Matanzas River, FL",29.7683, -81.2583, 0
8720767,"Buffalo Bluff, St Johns River, FL",29.5950, -81.6817, 0
8720774,"Palatka, St Johns River, FL",29.6433, -81.6317, 0
8720832,"Welaka, FL",29.4767, -81.6750, 0
8722588,"Port of West Palm Beach, FL",26.7700, -80.0517, 0
8723214,"Virginia Key, FL",25.7317, -80.1617, 0
8723970,"Vaca Key, FL",24.7117, -81.1050, 0
8724580,"Key West, FL",24.5533, -81.8083, 0
8725110,"Naples, FL",26.1300, -81.8067, 0
8725520,"Fort Myers, FL",26.6467, -81.8717, 0
8726384,"Port Manatee, FL",27.6367, -82.5650, 0
8726520,"St. Petersburg, FL",27.7600, -82.6267, 0
8726724,"Clearwater Beach, FL",27.9767, -82.8317, 0
8727520,"Cedar Key, FL",29.1350, -83.0317, 0
8728690,"Apalachicola, FL",29.7267, -84.9817, 0
8729108,"Panama City, FL",30.1517, -85.6667, 0
8729840,"Pensacola, FL",30.4033, -87.2117, 0
8732828,"Weeks Bay, AL",30.3850, -87.8300, 0
8735180,"Dauphin Island, AL",30.2500, -88.0750, 0
8737048,"Mobile State Docks, AL",30.7083, -88.0433, 0
8745557,"Gulfport Harbor, MS",30.3600, -89.0817, 0
8761724,"Grand Isle, LA",29.2633, -89.9567, 0
8762075,"Port Fourchon, LA",29.1150, -90.2000, 0
8765251,"Cypremort Point, LA",29.7133, -91.8800, 0
8767816,"Lake Charles, LA",30.2250, -93.2217, 0
8768094,"Calcasieu Pass, LA",29.7650, -93.3433, 0
8770475,"Port Arthur, TX",29.8667, -93.9300, 0
8770520,"Rainbow Bridge, TX",29.9800, -93.8817, 0
8770559,"Round Point, TX",29.7133, -94.6900, 0
8770570,"Sabine Pass North, TX",29.7300, -93.8700, 0
8770613,"Morgans Point, TX",29.6783, -94.9800, 0
8770777,"Manchester, TX",29.7183, -95.2517, 0
8770933,"Clear Lake, TX",29.5633, -95.0667, 0
8770971,"Rollover Pass, TX",29.5150, -94.5133, 0
8771013,"Eagle Point, TX",29.5067, -94.8733, 0
8771450,"Galveston Pier 21, TX",29.3100, -94.7933, 0
8773037,"Seadrift, TX",28.4083, -96.7117, 0
8773259,"Port Lavaca, TX",28.6400, -96.5950, 0
8773701,"Port OConnor, TX",28.4517, -96.3883, 0
8774513,"Copano Bay, TX",28.1183, -97.0217, 0
8774770,"Rockport, TX",28.0217, -97.0467, 0
8775188,"White Point, TX",27.8583, -97.4750, 0
8775222,"Viola, TX",27.8450, -97.5200, 0
8775237,"Port Aransas, TX",27.8383, -97.0600, 0
8775283,"Port Ingleside, Corpus Christi Bay, TX",27.8217, -97.2033, 0
8775792,"Packery Channel, TX",27.6333, -97.2367, 0
8775870,"Corpus Christi, TX",27.5800, -97.2167, 0
8776604,"Baffin Bay, TX",27.2950, -97.4050, 0
8778490,"Port Mansfield, TX",26.5650, -97.4300, 0
8779038,"Arroyo Colorado, TX",26.3517, -97.3250, 0
8779770,"Port Isabel, TX",26.0600, -97.2150, 0
9410170,"San Diego, CA",32.7150, -117.1733, 0
9410230,"La Jolla, CA",32.8667, -117.2583, 0
9410660,"Los Angeles, CA",33.7200, -118.2717, 0
9410840,"Santa Monica, CA",34.0083, -118.5000, 0
9411340,"Santa Barbara, CA",34.4050, -119.6933, 0
9412110,"Port San Luis, CA",35.1683, -120.7550, 0
9413450,"Monterey, CA",36.6050, -121.8883, 0
9414290,"San Francisco, CA",37.8067, -122.4650, 0
9414523,"Redwood City, CA",37.5067, -122.2100, 0
9414750,"Alameda, CA",37.7717, -122.2983, 0
9414863,"Richmond, CA",37.9283, -122.4000, 0
9415020,"Point Reyes, CA",37.9967, -122.9750, 0
9415144,"Port Chicago, CA",38.0567, -122.0383, 0
9415218,"Mare Island, CA",38.0700, -122.2500, 0
9416841,"Arena Cove, CA",38.9133, -123.7083, 0
9418767,"North Spit, CA",40.7667, -124.2167, 0
9419750,"Crescent City, CA",41.7450, -124.1833, 0
9431647,"Port Orford, OR",42.7383, -124.4983, 0
9432780,"Charleston, OR",43.3450, -124.3217, 0
9435380,"South Beach, OR",44.6250, -124.0433, 0
9437540,"Garibaldi, OR",45.5550, -123.9117, 0
9439040,"Astoria, OR",46.2083, -123.7667, 0
9439099,"Wauna, OR",46.1600, -123.4050, 0
9439201,"Saint Helens, OR",45.8650, -122.7967, 0
9440083,"Vancouver, WA",45.6317, -122.6967, 0
9440422,"Longview, WA",46.1083, -122.9567, 0
9440569,"Skamokawa, WA",46.2667, -123.4517, 0
9441102,"Westport, WA",46.9083, -124.1100, 0
9441187,"Aberdeen, WA",46.9683, -123.8533, 0
9442396,"La Push, WA",3.0000, 0.1000, 0
9443090,"Neah Bay, WA",48.3667, -124.6117, 0
9444090,"Port Angeles, WA",48.1250, -123.4400, 0
9444900,"Port Townsend, WA",48.1117, -122.7583, 0
9446484,"Tacoma, WA",47.2667, -122.4133, 0
9447130,"Seattle, WA",47.6033, -122.3400, 0
9449424,"Cherry Point, WA",48.8633, -122.7583, 0
9449880,"Friday Harbor, WA",48.5467, -123.0100, 0
9450460,"Ketchikan, AK",55.3333, -131.6250, 0
9450623,"Big Salt Lake, AK",55.6000, -132.9500, 0
9451054,"Port Alexander, AK",56.2467, -134.6467, 0
9451376,"Dorothy Cove, AK",56.7217, -135.0750, 0
9451600,"Sitka, AK",57.0517, -135.3417, 0
9452210,"Juneau, AK",58.2983, -134.4117, 0
9452400,"Skagway, AK",59.4500, -135.3267, 0
9452634,"Elfin Cove, AK",58.1933, -136.3433, 0
9453220,"Yakutat, AK",59.5483, -139.7350, 0
9454050,"Cordova, AK",60.5583, -145.7550, 0
9454240,"Valdez, AK",61.1250, -146.3617, 0
9455090,"Seward, AK",60.1200, -149.4267, 0
9455500,"Seldovia, AK",59.4400, -151.7200, 0
9455760,"Nikiski, AK",60.6833, -151.3983, 0
9455920,"Anchorage, AK",61.2383, -149.8900, 0
9457292,"Kodiak Island, AK",57.7317, -152.5117, 0
9457804,"Alitak, AK",56.8983, -154.2467, 0
9459450,"Sand Point, AK",55.3267, -160.5033, 0
9459881,"King Cove, AK",55.0617, -162.3267, 0
9461380,"Adak Island, AK",51.8633, -176.6317, 0
9461710,"Atka, AK",52.2317, -174.1733, 0
9462450,"Nikolski, AK",52.9417, -168.8717, 0
9462620,"Unalaska, AK",53.8800, -166.5367, 0
9463502,"Port Moller, AK",55.9900, -160.5617, 0
9468756,"Nome, Norton Sound, AK",64.5000, -165.4300, 0
9497645,"Prudhoe Bay, AK",70.4000, -148.5267, 0
9500202,"Mezquital, Mexico",25.2433, -97.4450, 0
9500408,"La Pesca, Mexico",23.7850, -97.7733, 0
9751639,"Charlotte Amalie, VI",18.3350, -64.9200, 0
9752235,"Culebra, PR",18.3017, -65.3017, 0
9755371,"San Juan, PR",18.4600, -66.1167, 0
9759394,"MAYAGUEZ, PUERTO RICO, PR",18.2200, -67.1600, 0
9759412,"Aguadilla, PR",18.4567, -67.1650, 0
8551911,"Reedy Point Air Gap, DE",39.5600, -75.5683, 0
8555889,"Brandywine Shoal Light, DE",38.9867, -75.1133, 0
8571559,"Mc Creadys Creek, MD",38.3000, -76.0050, 0
8573928,"Chesapeake City Air Gap, MD",39.5267, -75.8100, 0
8575432,"Bay Bridge Air Gap, MD",38.9933, -76.3817, 0
8577055,"Blackwater River Footbridge, MD",38.4467, -76.2050, 0
8637689,"Yorktown USCG Training Center, VA",37.2267, -76.4783, 0
8639348,"Money Point, VA",36.7783, -76.3017, 0
8652587,"Oregon Inlet Marina, NC",35.7950, -75.5483, 0
8661070,"Springmaid Pier, SC",33.6550, -78.9183, 0
8662245,"Oyster Landing (North Inlet Estuary), SC",33.3517, -79.1867, 0
8720211,"Mayport Naval Sta., St Johns River, FL",30.4000, -81.4133, 0
8720218,"Mayport (Bar Pilots Dock), FL",30.3967, -81.4300, 0
8720226,"Main Street Bridge, St Johns River, FL",30.3200, -81.6583, 0
8720357,"I-295 Bridge, St Johns River, FL",30.1917, -81.6917, 0
8720398,"Palm Valley ICWW, FL",30.1333, -81.3867, 0
8720503,"Red Bay Point, St Johns River, FL",29.9783, -81.6283, 0
8720554,"Vilano Beach ICWW, FL",29.9167, -81.3000, 0
8720625,"Racy Point, St Johns River, FL",29.8017, -81.5483, 0
8720692,"State Road A1A Bridge, FL",29.7067, -81.2200, 0
8720757,"Bings Landing, Matanzas River, FL",29.6150, -81.2050, 0
8721147,"Ponce De Leon Inlet South, FL",29.0633, -80.9150, 0
8721604,"Trident Pier, FL",28.4150, -80.5933, 0
8722548,"PGA BOULEVARD BRIDGE, PALM BEACH, FL",26.8433, -80.0667, 0
8722669,"Lake Worth ICW, FL",26.6133, -80.0467, 0
8726607,"Old Port Tampa, FL",27.8583, -82.5533, 0
8726667,"Mckay Bay Entrance, FL",27.9133, -82.4250, 0
8735181,"Dauphin Island Hydro, AL",30.2500, -88.0750, 0
8736897,"Coast Guard Sector Mobile, AL",30.6483, -88.0583, 0
8741041,"Dock E, Port of Pascagoula, MS",30.3483, -88.5050, 0
8741533,"Pascagoula NOAA Lab, MS",30.3583, -88.5667, 0
8747437,"Bay Waveland Yacht Club, MS",30.3250, -89.3250, 0
8760417,"Devon Energy Facility, LA",29.2000, -89.0433, 0
8760922,"Pilots Station East, SW Pass, LA",28.9317, -89.4067, 0
8761927,"New Canal Station, LA",30.0267, -90.1133, 0
8762372,"East Bank 1, Norco, B. LaBranche, LA",30.0500, -90.3683, 0
8762482,"West Bank 1, Bayou Gauche, LA",0.0000, 0.0000, 0
8764044,"Tesoro Marine Terminal, LA",29.6667, -91.2367, 0
8764227,"LAWMA, Amerada Pass, LA",29.4500, -91.3400, 0
8766072,"Freshwater Canal Locks, LA",29.5550, -92.3050, 0
8770743,"Battleship Texas State Park, TX",29.7567, -95.0900, 0
8771341,"Galveston Bay Entrance, North Jetty, TX",29.3583, -94.7250, 0
8771510,"Galveston Pleasure Pier, TX",29.2850, -94.7883, 0
8772447,"USCG Freeport, TX",28.9333, -95.3000, 0
8775296,"Texas State Aquarium, TX",27.8117, -97.3900, 0
8777812,"Rincon Del San Jose, TX",26.8250, -97.4917, 0
9410689,"Long Beach Air Gap, CA",33.7650, -118.2200, 0
9411406,"Oil Platform Harvest, CA",34.4683, -120.6733, 0
9413643,"Tidal Creek, Elkhorn Slough, CA",36.8333, -121.7450, 0
9413651,"Kirby Park, Elkhorn Slough, CA",36.8417, -121.7450, 0
9440910,"Toke Point, WA",46.7067, -123.9667, 0
9464212,"Village Cove, St. Paul Island, AK",57.1250, -170.2750, 0
9491094,"Red Dog Dock, AK",67.5767, -164.0650, 0
9500966,"Madero, Tampico Harbor, Mexico",22.2617, -97.7950, 0
9751364,"Christiansted Harbor, St Croix, VI",17.7500, -64.7050, 0
9751381,"Lameshur Bay, St. Johns, VI",18.3183, -64.7250, 0
9751401,"Lime Tree Bay, VI",17.6850, -64.7533, 0
9752695,"Vieques Island, PR",18.0933, -65.4717, 0
9759110,"Magueyes Island, PR",17.9700, -67.0467, 0
9759938,"Mona Island, PR",18.0900, -67.9383, 0

